name,busmap
8838,North0 1
8013,North0 3
8649,North0 1
4950,North0 2
4951,North0 2
4952,North0 2
4953,North0 2
4955,North0 2
4956,North0 2
4958,North0 2
4960,North0 2
4961,North0 2
4962,North0 2
4963,North0 2
4964,North0 2
4965,North0 2
4967,North0 2
4968,North0 2
4969,North0 2
4970,North0 2
4971,North0 2
4974,North0 2
4975,North0 2
4977,North0 2
5183,North0 4
5185,North0 4
5187,North0 4
5188,North0 4
5189,North0 4
5191,North0 4
5192,North0 4
5193,North0 4
5194,North0 4
5195,North0 4
5198,North0 4
5200,North0 4
5202,North0 4
5203,North0 4
5204,North0 4
5206,North0 4
5207,North0 4
5208,North0 4
5209,North0 4
5212,North0 1
5213,North0 1
5214,North0 1
5215,North0 4
5217,North0 1
5218,North0 1
5219,North0 1
5221,North0 1
5222,North0 0
5223,North0 0
5224,North0 4
5225,North0 4
5226,North0 4
5228,North0 4
5229,North0 4
5230,North0 2
5231,North0 2
5233,North0 2
5234,North0 2
5236,North0 2
5238,North0 2
5240,North0 2
5241,North0 2
5242,North0 2
5243,North0 2
5245,North0 2
5247,North0 2
5248,North0 2
5249,North0 2
5250,North0 2
5251,North0 2
5252,North0 2
5253,North0 2
5254,North0 2
5256,North0 2
5257,North0 2
5258,North0 2
5259,North0 2
5261,North0 2
5262,North0 2
5264,North0 2
5265,North0 2
5266,North0 2
5268,North0 2
5269,North0 2
5270,North0 2
5272,North0 2
5273,North0 2
5274,North0 4
8397,North0 4
8747,North0 4
5955,North0 0
5957,North0 0
5959,North0 0
5888,North0 0
5889,North0 2
5893,North0 3
5896,North0 3
5898,North0 3
5901,North0 3
5902,North0 3
5904,North0 3
5905,North0 3
5910,North0 3
5912,North0 3
5913,North0 3
5914,North0 3
5917,North0 3
5919,North0 3
5920,North0 3
5922,North0 3
5924,North0 1
5926,North0 1
5927,North0 1
5928,North0 1
5929,North0 1
5934,North0 1
5939,North0 1
5941,North0 1
5942,North0 1
5943,North0 3
5944,North0 3
5946,North0 0
5949,North0 0
5950,North0 0
5951,North0 0
5952,North0 1
5953,North0 0
5954,North0 0
5960,North0 0
5961,North0 0
5962,North0 0
5963,North0 0
5966,North0 0
5967,North0 0
5968,North0 1
5969,North0 1
5971,North0 1
5973,North0 1
5974,North0 1
5976,North0 1
5978,North0 1
5980,North0 1
5981,North0 1
5982,North0 1
5983,North0 1
5984,North0 1
5986,North0 0
5987,North0 0
5988,North0 0
5989,North0 0
5990,North0 0
5992,North0 1
5993,North0 0
5995,North0 0
5996,North0 0
5997,North0 0
5998,North0 0
5999,North0 0
6001,North0 1
6003,North0 1
6004,North0 1
6006,North0 1
6007,North0 0
6009,North0 0
6010,North0 0
6012,North0 1
6013,North0 1
6014,North0 0
6016,North0 0
6018,North0 1
6019,North0 0
6020,North0 0
6021,North0 0
6023,North0 0
6025,North0 0
6026,North0 0
6028,North0 0
6029,North0 0
6030,North0 0
6031,North0 0
6032,North0 0
6033,North0 0
6035,North0 0
6036,North0 0
6037,North0 0
6038,North0 0
6039,North0 0
6040,North0 0
6041,North0 0
6042,North0 0
6043,North0 0
6045,North0 0
6046,North0 0
6047,North0 0
6048,North0 0
6050,North0 0
6051,North0 0
8035,North0 3
6437,North0 3
6439,North0 3
6440,North0 3
6447,North0 3
6448,North0 3
6451,North0 3
6453,North0 3
6454,North0 3
6455,North0 3
6457,North0 3
6458,North0 3
6460,North0 3
6462,North0 3
6464,North0 3
6466,North0 3
6467,North0 3
6468,North0 3
6471,North0 3
6472,North0 3
6474,North0 3
6475,North0 3
6477,North0 3
6480,North0 3
6482,North0 3
6484,North0 3
6485,North0 3
6486,North0 3
7412,North0 1
7909,North0 0
8473,North0 2
8529,North0 4
8515,North0 4
7462,North0 1
7461,North0 1
8023,North0 1
7361,North0 2
8860,North0 2
8029,North0 0
7464,North0 1
7463,North0 1
8017,North0 0
8189,North0 4
8037,North0 3
8015,North0 3
7946,North0 0
7286,North0 2
8014,North0 2
8290,North0 4
7471,North0 3
7945,North0 4
8033,North0 3
8565,North0 3
8036,North0 3
7454,North0 2
8575,North0 1
7466,North0 1
7465,North0 1
8030,North0 2
8020,North0 3
8489,North0 3
8034,North0 3
8026,North0 1
7455,North0 1
8022,North0 1
8744,North0 3
7457,North0 1
7456,North0 1
8032,North0 3
8025,North0 2
8024,North0 2
8021,North0 0
8578,North0 2
7469,North0 3
8027,North0 1
